Geo_id,County,Occupied housing units
0500000US01001,"Autauga County, Alabama",21559
0500000US01003,"Baldwin County, Alabama",84047
0500000US01005,"Barbour County, Alabama",9322
0500000US01007,"Bibb County, Alabama",7259
0500000US01009,"Blount County, Alabama",21205
0500000US01011,"Bullock County, Alabama",3429
0500000US01013,"Butler County, Alabama",6649
0500000US01015,"Calhoun County, Alabama",44572
0500000US01017,"Chambers County, Alabama",13582
0500000US01019,"Cherokee County, Alabama",10836
0500000US01021,"Chilton County, Alabama",17140
0500000US01023,"Choctaw County, Alabama",5330
0500000US01025,"Clarke County, Alabama",9323
0500000US01027,"Clay County, Alabama",5153
0500000US01029,"Cleburne County, Alabama",5835
0500000US01031,"Coffee County, Alabama",19951
0500000US01033,"Colbert County, Alabama",21797
0500000US01035,"Conecuh County, Alabama",4585
0500000US01037,"Coosa County, Alabama",4016
0500000US01039,"Covington County, Alabama",14995
0500000US01041,"Crenshaw County, Alabama",5011
0500000US01043,"Cullman County, Alabama",31733
0500000US01045,"Dale County, Alabama",19405
0500000US01047,"Dallas County, Alabama",15409
0500000US01049,"DeKalb County, Alabama",26365
0500000US01051,"Elmore County, Alabama",29794
0500000US01053,"Escambia County, Alabama",12931
0500000US01055,"Etowah County, Alabama",38765
0500000US01057,"Fayette County, Alabama",6805
0500000US01059,"Franklin County, Alabama",11017
0500000US01061,"Geneva County, Alabama",10572
0500000US01063,"Greene County, Alabama",3178
0500000US01065,"Hale County, Alabama",5490
0500000US01067,"Henry County, Alabama",6556
0500000US01069,"Houston County, Alabama",39784
0500000US01071,"Jackson County, Alabama",20367
0500000US01073,"Jefferson County, Alabama",263801
0500000US01075,"Lamar County, Alabama",5631
0500000US01077,"Lauderdale County, Alabama",38513
0500000US01079,"Lawrence County, Alabama",12551
0500000US01081,"Lee County, Alabama",60731
0500000US01083,"Limestone County, Alabama",32725
0500000US01085,"Lowndes County, Alabama",4213
0500000US01087,"Macon County, Alabama",7592
0500000US01089,"Madison County, Alabama",151628
0500000US01091,"Marengo County, Alabama",7499
0500000US01093,"Marion County, Alabama",11780
0500000US01095,"Marshall County, Alabama",35115
0500000US01097,"Mobile County, Alabama",157557
0500000US01099,"Monroe County, Alabama",8050
0500000US01101,"Montgomery County, Alabama",89511
0500000US01103,"Morgan County, Alabama",46388
0500000US01105,"Perry County, Alabama",3140
0500000US01107,"Pickens County, Alabama",7731
0500000US01109,"Pike County, Alabama",11700
0500000US01111,"Randolph County, Alabama",8655
0500000US01113,"Russell County, Alabama",23694
0500000US01115,"St. Clair County, Alabama",32765
0500000US01117,"Shelby County, Alabama",80756
0500000US01119,"Sumter County, Alabama",5355
0500000US01121,"Talladega County, Alabama",31741
0500000US01123,"Tallapoosa County, Alabama",16359
0500000US01125,"Tuscaloosa County, Alabama",74713
0500000US01127,"Walker County, Alabama",25440
0500000US01129,"Washington County, Alabama",5830
0500000US01131,"Wilcox County, Alabama",3961
0500000US01133,"Winston County, Alabama",9612
